data\FER\train\happy\Training_10019449.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\000-00.png,train
data\FER\train\happy\Training_10046809.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\000-01.png,train
data\FER\train\happy\Training_10066226.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\000-02.png,train
data\FER\train\happy\Training_10070997.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\001-00.png,train
data\FER\train\happy\Training_10080933.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\001-01.png,train
data\FER\train\happy\Training_10109375.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\001-02.png,train
data\FER\train\happy\Training_10116721.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\002-00.png,train
data\FER\train\happy\Training_10127474.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\002-01.png,train
data\FER\train\happy\Training_10133389.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\002-02.png,train
data\FER\train\happy\Training_10139297.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\003-00.png,train
data\FER\train\happy\Training_10142161.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\003-01.png,train
data\FER\train\happy\Training_10142426.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\003-02.png,train
data\FER\train\happy\Training_10181727.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\004-00.png,train
data\FER\train\happy\Training_1018317.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\004-01.png,train
data\FER\train\happy\Training_10199847.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\004-02.png,train
data\FER\train\happy\Training_10209551.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\005-00.png,train
data\FER\train\happy\Training_10220224.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\005-01.png,train
data\FER\train\happy\Training_10229138.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\005-02.png,train
data\FER\train\happy\Training_10230185.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\006-00.png,train
data\FER\train\happy\Training_10239785.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\006-01.png,train
data\FER\train\happy\Training_10240470.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\006-02.png,train
data\FER\train\happy\Training_10242543.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\007-00.png,train
data\FER\train\happy\Training_10246389.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\007-01.png,train
data\FER\train\happy\Training_10248095.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\007-02.png,train
data\FER\train\happy\Training_10257744.jpg,data\Spectrograms\mel\pop\22050Hz\3-splits\008-00.png,train
